Link,Date,Gamertags
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=748133874&player=shnateman,"2011-08-09 21:32:00","DrZoidbergOBGYN,HEATSEEKERBUNGE,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=748108521&player=shnateman,"2011-08-09 21:14:00","DrZoidbergOBGYN,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=748081136&player=shnateman,"2011-08-09 20:55:00","DrZoidbergOBGYN,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=728037638&player=shnateman,"2011-07-28 21:53:00","DrZoidbergOBGYN,HEATSEEKERBUNGE,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=728023247&player=shnateman,"2011-07-28 21:43:00","DrZoidbergOBGYN,HEATSEEKERBUNGE,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=727994957&player=shnateman,"2011-07-28 21:24:00","DrZoidbergOBGYN,HEATSEEKERBUNGE,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=727974983&player=shnateman,"2011-07-28 21:11:00","DrZoidbergOBGYN,HEATSEEKERBUNGE,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=727947772&player=shnateman,"2011-07-28 20:54:00","DrZoidbergOBGYN,HEATSEEKERBUNGE,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=727928726&player=shnateman,"2011-07-28 20:43:00","DrZoidbergOBGYN,HEATSEEKERBUNGE,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=727913086&player=shnateman,"2011-07-28 20:33:00","DrZoidbergOBGYN,HEATSEEKERBUNGE,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=726188404&player=shnateman,"2011-07-27 22:58:00","HEATSEEKERBUNGE,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=726170145&player=shnateman,"2011-07-27 22:41:00","HEATSEEKERBUNGE,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=726146551&player=shnateman,"2011-07-27 22:22:00","HEATSEEKERBUNGE,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=726128968&player=shnateman,"2011-07-27 22:08:00","HEATSEEKERBUNGE,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=726109827&player=shnateman,"2011-07-27 21:54:00","HEATSEEKERBUNGE,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=726083370&player=shnateman,"2011-07-27 21:35:00","HEATSEEKERBUNGE,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=691235137&player=shnateman,"2011-07-07 22:20:00","DrZoidbergOBGYN,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=691208667&player=shnateman,"2011-07-07 22:02:00","DrZoidbergOBGYN,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=691187680&player=shnateman,"2011-07-07 21:49:00","DrZoidbergOBGYN,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=691137483&player=shnateman,"2011-07-07 21:20:00","DrZoidbergOBGYN,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=691095333&player=shnateman,"2011-07-07 20:56:00","DrZoidbergOBGYN,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=691064025&player=shnateman,"2011-07-07 20:39:00","DrZoidbergOBGYN,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=689066636&player=shnateman,"2011-07-06 21:35:00","Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=687360641&player=shnateman,"2011-07-05 22:23:00","TheeExistential,shnateman"
