Link,Date
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=691187680&player=shnateman,"7.07.2011 9:49PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=691137483&player=shnateman,"7.07.2011 9:20PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=691095333&player=shnateman,"7.07.2011 8:56PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=691064025&player=shnateman,"7.07.2011 8:39PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=689066636&player=shnateman,"7.06.2011 9:35PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=687360641&player=shnateman,"7.05.2011 10:23PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=687336689&player=shnateman,"7.05.2011 10:04PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=687220973&player=shnateman,"7.05.2011 8:46PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=687192710&player=shnateman,"7.05.2011 8:29PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=687142426&player=shnateman,"7.05.2011 7:59PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=687110812&player=shnateman,"7.05.2011 7:40PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=685604113&player=shnateman,"7.04.2011 11:52PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681954752&player=shnateman,"7.03.2011 12:33AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681949252&player=shnateman,"7.03.2011 12:25AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681942485&player=shnateman,"7.03.2011 12:17AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681936623&player=shnateman,"7.03.2011 12:09AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681929424&player=shnateman,"7.03.2011 12:01AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681920584&player=shnateman,"7.02.2011 11:50PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681908676&player=shnateman,"7.02.2011 11:37PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681899148&player=shnateman,"7.02.2011 11:27PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681885909&player=shnateman,"7.02.2011 11:13PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681867420&player=shnateman,"7.02.2011 10:55PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=680452030&player=shnateman,"7.02.2011 1:44AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=680434102&player=shnateman,"7.02.2011 1:15AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=680416234&player=shnateman,"7.02.2011 12:49AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=680395210&player=shnateman,"7.02.2011 12:20AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=680388729&player=shnateman,"7.02.2011 12:13AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=680377873&player=shnateman,"7.01.2011 11:58PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=680361171&player=shnateman,"7.01.2011 11:39PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=678810322&player=shnateman,"7.01.2011 12:18AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=678797280&player=shnateman,"7.01.2011 12:01AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=678781097&player=shnateman,"6.30.2011 11:43PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=678770287&player=shnateman,"6.30.2011 11:30PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=678752961&player=shnateman,"6.30.2011 11:12PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677103094&player=shnateman,"6.30.2011 1:47AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677097795&player=shnateman,"6.30.2011 1:37AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677095655&player=shnateman,"6.30.2011 1:33AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677090185&player=shnateman,"6.30.2011 1:24AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677086119&player=shnateman,"6.30.2011 1:16AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677082146&player=shnateman,"6.30.2011 1:09AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677076082&player=shnateman,"6.30.2011 1:00AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677071991&player=shnateman,"6.30.2011 12:53AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677068218&player=shnateman,"6.30.2011 12:47AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677061233&player=shnateman,"6.30.2011 12:37AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677056185&player=shnateman,"6.30.2011 12:30AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677050043&player=shnateman,"6.30.2011 12:21AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676962504&player=shnateman,"6.29.2011 10:43PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676960880&player=shnateman,"6.29.2011 10:40PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676946330&player=shnateman,"6.29.2011 10:27PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676931475&player=shnateman,"6.29.2011 10:14PM"
